case,dimension,a,b,rho,q_eff,effective_eigen_slope,source_slope_obs,source_slope_pred,source_slope_abs_error,diag_condition,total_source_mass_original,total_source_mass_transformed,total_source_mass_rel_error,top_source_fraction_10pct
aligned,512,1.25,1.2,1e-08,0.4999964874740057,0.6250043906574929,-1.199999999999999,-1.2,8.881784197001252e-16,2435.4961715255727,4.15598983181742,4.15598983181742,0.0,0.7984964828747191
aligned,512,1.25,1.4,1e-08,0.4999964874740057,0.6250043906574929,-1.3999999999999988,-1.4,1.1102230246251565e-15,2435.4961715255727,2.8994546665880687,2.8994546665880687,0.0,0.8928841850059679
aligned,512,1.25,1.8,1e-08,0.4999964874740057,0.6250043906574929,-1.7999999999999987,-1.8,1.3322676295501878e-15,2435.4961715255727,1.8737347856401783,1.8737347856401783,0.0,0.9760401045412275
aligned,512,1.5,1.2,1e-08,0.49998653978180274,0.7500201903272958,-1.199999999999999,-1.2,8.881784197001252e-16,11585.237502960394,4.15598983181742,4.15598983181742,0.0,0.7984964828747191
aligned,512,1.5,1.4,1e-08,0.49998653978180274,0.7500201903272958,-1.3999999999999988,-1.4,1.1102230246251565e-15,11585.237502960394,2.8994546665880687,2.8994546665880687,0.0,0.8928841850059679
aligned,512,1.5,1.8,1e-08,0.49998653978180274,0.7500201903272958,-1.7999999999999987,-1.8,1.3322676295501878e-15,11585.237502960394,1.8737347856401785,1.8737347856401785,0.0,0.9760401045412275
aligned,512,2.0,1.2,1e-08,0.499797052479382,1.000405895041236,-1.199999999999999,-1.2,8.881784197001252e-16,262144.0,4.15598983181742,4.15598983181742,0.0,0.7984964828747191
aligned,512,2.0,1.4,1e-08,0.499797052479382,1.000405895041236,-1.3999999999999988,-1.4,1.1102230246251565e-15,262144.0,2.8994546665880687,2.8994546665880687,0.0,0.892884185005968
aligned,512,2.0,1.8,1e-08,0.499797052479382,1.000405895041236,-1.7999999999999987,-1.8,1.3322676295501878e-15,262144.0,1.8737347856401785,1.8737347856401783,1.185037533735959e-16,0.9760401045412275
band,512,1.25,1.2,1e-08,0.47835364194722463,0.6520579475659696,-1.3284713402863892,-1.2,0.1284713402863893,2109.6964524231935,4.155989831817422,4.155989831817422,0.0,0.7950548205370964
band,512,1.25,1.4,1e-08,0.47833684707941093,0.6520789411507366,-1.4287336598905784,-1.4,0.028733659890578522,2115.203934142933,2.8994546665880696,2.8994546665880696,0.0,0.8917019317798667
band,512,1.25,1.8,1e-08,0.47862553736325575,0.6517180782959302,-1.8182355109707806,-1.8,0.018235510970780577,2112.5563689208025,1.8737347856401778,1.8737347856401778,0.0,0.975662924443654
band,512,1.5,1.2,1e-08,0.4986450779253325,0.7520323831120013,-1.331512772916472,-1.2,0.131512772916472,8796.093904733036,4.15598983181742,4.15598983181742,0.0,0.7971983194217156
band,512,1.5,1.4,1e-08,0.49888028992219924,0.7516795651167014,-1.5502242385738367,-1.4,0.15022423857383682,8959.688185194113,2.8994546665880687,2.8994546665880687,0.0,0.8917924796660538
band,512,1.5,1.8,1e-08,0.4989372729600683,0.7515940905598978,-1.958857945492383,-1.8,0.15885794549238286,8706.1962661177,1.873734785640179,1.873734785640179,0.0,0.9756654599019193
band,512,2.0,1.2,1e-08,0.49358269472580774,1.0128346105483845,-1.2976106773555556,-1.2,0.09761067735555562,226602.3761525545,4.15598983181742,4.15598983181742,0.0,0.7985322102443789
band,512,2.0,1.4,1e-08,0.493495180315463,1.0130096393690744,-1.4035907841401924,-1.4,0.0035907841401925378,228574.86164708983,2.899454666588069,2.899454666588069,0.0,0.8926009505737793
band,512,2.0,1.8,1e-08,0.49353930312576644,1.0129213937484671,-1.9037575343550277,-1.8,0.10375753435502766,224623.24844414592,1.8737347856401785,1.8737347856401785,0.0,0.975356849093894
flat,512,1.25,1.2,1e-08,5.551115123125783e-16,1.249999999999999,-1.1999999999999797,-1.2,2.020605904817785e-14,1.0000000000000007,4.155989831817422,4.15598983181742,4.2742088197637537e-16,0.7984964828747195
flat,512,1.25,1.4,1e-08,5.551115123125783e-16,1.249999999999999,-1.4000000000000048,-1.4,4.884981308350689e-15,1.0000000000000007,2.8994546665880656,2.899454666588066,1.5316301198550717e-16,0.8928841850059676
flat,512,1.25,1.8,1e-08,5.551115123125783e-16,1.249999999999999,-1.799999999999967,-1.8,3.3084646133829665e-14,1.0000000000000007,1.8737347856401771,1.8737347856401767,2.37007506747192e-16,0.9760401045412274
flat,512,1.5,1.2,1e-08,-7.771561172376096e-15,1.500000000000011,-1.1999999999999476,-1.2,5.240252676230739e-14,1.0000000000000004,4.1559898318174335,4.155989831817424,2.350814850870058e-15,0.798496482874718
flat,512,1.5,1.4,1e-08,-7.771561172376096e-15,1.500000000000011,-1.4000000000000532,-1.4,5.3290705182007514e-14,1.0000000000000004,2.899454666588072,2.899454666588069,9.18978071913041e-16,0.8928841850059674
flat,512,1.5,1.8,1e-08,-7.771561172376096e-15,1.500000000000011,-1.79999999999994,-1.8,5.995204332975845e-14,1.0000000000000004,1.8737347856401776,1.8737347856401776,0.0,0.9760401045412267
flat,512,2.0,1.2,1e-08,-3.6193270602780103e-14,2.000000000000093,-1.2000000000000401,-1.2,4.0190073491430667e-14,1.0000000000000002,4.155989831817468,4.1559898318174255,1.0258101167432895e-14,0.7984964828747589
flat,512,2.0,1.4,1e-08,-3.6193270602780103e-14,2.000000000000093,-1.399999999999618,-1.4,3.8191672047105385e-13,1.0000000000000002,2.899454666588072,2.899454666588072,0.0,0.8928841850059632
flat,512,2.0,1.8,1e-08,-3.6193270602780103e-14,2.000000000000093,-1.799999999998764,-1.8,1.2361223156176493e-12,1.0000000000000002,1.8737347856401723,1.8737347856401732,4.740150134943852e-16,0.9760401045412268
haar,512,1.25,1.2,1e-08,-0.01142172515233475,1.2642771564404183,-0.8432350843338032,-1.2,0.3567649156661967,8.540305774342203,4.155989831817415,4.155989831817415,0.0,0.7999498784122118
haar,512,1.25,1.4,1e-08,-0.010861548787462372,1.263576935984328,-1.5883750455855192,-1.4,0.18837504558551932,11.199468089070477,2.8994546665880634,2.8994546665880643,3.063260239710146e-16,0.890636828370591
haar,512,1.25,1.8,1e-08,-0.013157702540032679,1.2664471281750402,-1.9480436635682221,-1.8,0.14804366356822207,8.98339250503119,1.8737347856401787,1.873734785640178,3.5551126012078767e-16,0.9767252026535084
haar,512,1.5,1.2,1e-08,-0.01884860513565756,1.5282729077034871,-1.282308239894786,-1.2,0.08230823989478608,21.01908438829823,4.155989831817416,4.155989831817413,6.41131322964564e-16,0.7960416661498028
haar,512,1.5,1.4,1e-08,-0.01746601176400353,1.5261990176460047,-1.2463555043143935,-1.4,0.15364449568560645,13.516520232834168,2.899454666588065,2.899454666588066,3.063260239710144e-16,0.8887353355268415
haar,512,1.5,1.8,1e-08,-0.018933134982292765,1.5283997024734386,-1.5575828593873877,-1.8,0.24241714061261233,15.300588953371918,1.8737347856401785,1.873734785640179,2.370075067471918e-16,0.9762481420829007
haar,512,2.0,1.2,1e-08,-0.032008041162502554,2.064016082325016,-1.1594544506435764,-1.2,0.040545549356423516,44.500325878974095,4.155989831817433,4.155989831817467,8.334707198539298e-15,0.8010090826720675
haar,512,2.0,1.4,1e-08,-0.031463609897668166,2.0629272197953408,-1.3044743063313686,-1.4,0.09552569366863128,82.38462550121385,2.899454666588044,2.899454666588045,4.59489035956525e-16,0.8902308845351539
haar,512,2.0,1.8,1e-08,-0.02660934981657781,2.053218699633158,-2.027728025740251,-1.8,0.22772802574025097,78.20193004851744,1.8737347856401672,1.8737347856401647,1.3035412871095628e-15,0.9761183798732181
